佩戴部位,主属性,副属性,角色
空之杯,雷元素伤害加成,暴击伤害/暴击率/攻击力,丽莎/刻晴/北斗
空之杯,雷元素伤害加成,暴击率/元素充能效率/元素精通,旅行者雷
空之杯,岩元素伤害加成,暴击伤害/暴击率/生命值,钟离
空之杯,岩元素伤害加成,暴击伤害/暴击率/防御力,诺艾尔/阿贝多
空之杯,岩元素伤害加成,暴击伤害/暴击率/攻击力,凝光/旅行者岩
空之杯,水元素伤害加成,暴击伤害/暴击率/攻击力,行秋/达达利亚
空之杯,水元素伤害加成,元素充能效率/生命值,珊瑚宫心海
空之杯,水元素伤害加成,暴击伤害/暴击率/元素充能效率,莫娜
空之杯,火元素伤害加成,暴击伤害/暴击率/生命值,胡桃
空之杯,火元素伤害加成,暴击伤害/暴击率/元素充能效率,香菱/迪卢克/安柏
空之杯,火元素伤害加成,暴击伤害/暴击率/元素精通,宵宫
空之杯,火元素伤害加成,暴击伤害/暴击率/元素精通,烟绯/可莉
空之杯,火元素伤害加成,暴击伤害/元素充能效率/生命值,班尼特
空之杯,物理伤害加成,暴击伤害/暴击率/元素精通,菲谢尔
空之杯,物理伤害加成,暴击伤害/暴击率/攻击力,罗莎莉亚/雷泽/优菈
空之杯,物理伤害加成,暴击伤害/暴击率/防御力,辛焱
空之杯,攻击力,暴击伤害/暴击率,埃洛伊/琴/魈
空之杯,攻击力,暴击伤害/暴击率/元素充能效率,雷电将军/九条裟罗
空之杯,攻击力,暴击伤害/暴击率/元素充能效率/元素精通,早柚
空之杯,攻击力,元素充能效率,七七
空之杯,元素精通,暴击伤害/暴击率/攻击力/元素充能效率,早柚
空之杯,元素精通,暴击率/元素充能效率,旅行者雷
空之杯,元素精通,暴击伤害/暴击率,旅行者风/宵宫/菲谢尔/温迪
空之杯,元素精通,暴击伤害/元素充能效率,砂糖/枫原万叶
空之杯,生命值,元素充能效率,迪奥娜/芭芭拉/珊瑚宫心海
空之杯,生命值,暴击伤害/暴击率,钟离
空之杯,生命值,暴击伤害/元素充能效率,班尼特
空之杯,防御力,暴击伤害/暴击率,辛焱
理之冠,暴击率,暴击伤害/防御力,诺艾尔
理之冠,暴击率,暴击伤害/攻击力,埃洛伊
理之冠,暴击率,暴击伤害/攻击力/元素充能效率,九条裟罗/雷电将军
理之冠,暴击率,暴击伤害/攻击力/元素充能效率/元素精通,早柚
理之冠,暴击率,暴击伤害/攻击力,行秋/达达利亚/丽莎/雷泽/刻晴/北斗/重云/凝光/旅行者岩/魈/优菈/罗莎莉亚
理之冠,暴击率,暴击伤害/生命值,胡桃
理之冠,暴击率,暴击伤害/元素充能效率,安柏/神里绫华/香菱/迪卢克/凯亚/莫娜
理之冠,暴击率,暴击伤害/元素精通,菲谢尔
理之冠,暴击率,暴击伤害/元素精通,宵宫/烟绯/可莉
理之冠,暴击率,元素充能效率/元素精通,旅行者雷
理之冠,暴击伤害,暴击率/防御力,诺艾尔/辛焱/阿贝多
理之冠,暴击伤害,暴击率/攻击力,埃洛伊
理之冠,暴击伤害,暴击率/攻击力/元素充能效率,九条裟罗/雷电将军
理之冠,暴击伤害,暴击率/攻击力/元素充能效率/元素精通,早柚
理之冠,暴击伤害,暴击率/攻击力,行秋/达达利亚/丽莎/雷泽/刻晴/北斗/重云/甘雨/凝光/旅行者岩/魈/优菈/罗莎莉亚/琴
理之冠,暴击伤害,暴击率/生命值,胡桃/钟离
理之冠,暴击伤害,暴击率/元素充能效率,安柏/神里绫华/香菱/迪卢克/凯亚/莫娜
理之冠,暴击伤害,暴击率/元素精通,菲谢尔/宵宫/烟绯/可莉/温迪/旅行者风
理之冠,暴击伤害,元素充能效率/生命值,班尼特
理之冠,暴击伤害,元素充能效率/元素精通,砂糖/枫原万叶
理之冠,元素精通,暴击伤害/暴击率/攻击力/元素充能效率,早柚
理之冠,元素精通,暴击率/元素充能效率,旅行者雷
理之冠,元素精通,暴击伤害/暴击率,温迪/旅行者风/菲谢尔
理之冠,元素精通,暴击伤害/元素充能效率,砂糖/枫原万叶
理之冠,防御力,暴击伤害/暴击率,辛焱
理之冠,攻击力,暴击伤害/暴击率,琴
理之冠,攻击力,元素充能效率,七七
理之冠,生命值,暴击伤害/暴击率,钟离
理之冠,生命值,元素充能效率,珊瑚宫心海/迪奥娜
理之冠,治疗加成,元素充能效率/生命值,迪奥娜/芭芭拉
理之冠,治疗加成,攻击力/元素充能效率,七七
理之冠,治疗加成,元素充能效率/生命值,珊瑚宫心海
理之冠,治疗加成,暴击伤害/元素充能效率/生命值,班尼特
